Name,Email,Source,Date,Location,Language
Amit Patil,amit1@gmail.com,Website,2025-01-01,Pune,Marathi
Rohit Deshmukh,rohit2@gmail.com,Campaign,2025-01-01,Mumbai,Marathi
Sneha Kulkarni,sneha3@gmail.com,Referral,2025-01-02,Nashik,Marathi
Akash Jadhav,akash4@gmail.com,Website,2025-01-02,Satara,Marathi
Pooja Shinde,pooja5@gmail.com,Campaign,2025-01-03,Pune,Marathi
Sagar More,sagar6@gmail.com,Referral,2025-01-03,Kolhapur,Marathi
Neha Pawar,neha7@gmail.com,Website,2025-01-04,Mumbai,Marathi

Rahul Joshi,rahul8@gmail.com,Campaign,2025-01-04,Pune,Marathi
Kiran Patil,kiran9@gmail.com,Referral,2025-01-05,Nagpur,Marathi
Manish Kulkarni,manish10@gmail.com,Website,2025-01-05,Aurangabad,Marathi
Sonali Deshpande,sonali11@gmail.com,Campaign,2025-01-06,Pune,Marathi
Vikas Jadhav,vikas12@gmail.com,Referral,2025-01-06,Sangli,Marathi
Anjali Patil,anjali13@gmail.com,Website,2025-01-07,Mumbai,Marathi
Pratik Chavan,pratik14@gmail.com,Campaign,2025-01-07,Pune,Marathi

Ramesh Rao,ramesh15@gmail.com,Website,2025-01-01,Bangalore,Kannada
Suresh Nayak,suresh16@gmail.com,Campaign,2025-01-01,Mangalore,Kannada
Kiran Shetty,kiran17@gmail.com,Referral,2025-01-02,Udupi,Kannada
Mahesh Gowda,mahesh18@gmail.com,Website,2025-01-02,Mysore,Kannada
Praveen Hegde,praveen19@gmail.com,Campaign,2025-01-03,Hubli,Kannada
Nithin Kumar,nithin20@gmail.com,Referral,2025-01-03,Bangalore,Kannada
Sunil Naik,sunil21@gmail.com,Website,2025-01-04,Karwar,Kannada

Anand Pai,anand22@gmail.com,Campaign,2025-01-04,Mangalore,Kannada
Deepak Shetty,deepak23@gmail.com,Referral,2025-01-05,Udupi,Kannada
Ravi Gowda,ravi24@gmail.com,Website,2025-01-05,Mysore,Kannada
Arjun Kulal,arjun25@gmail.com,Campaign,2025-01-06,Surathkal,Kannada
Naveen Rao,naveen26@gmail.com,Referral,2025-01-06,Bangalore,Kannada
Santosh Naik,santosh27@gmail.com,Website,2025-01-07,Hubli,Kannada
Vijay Hegde,vijay28@gmail.com,Campaign,2025-01-07,Dharwad,Kannada
Rohit Kulkarni,rohit29@gmail.com,Referral,2025-01-08,Pune,Marathi
Shubham Patil,shubham30@gmail.com,Website,2025-01-08,Mumbai,Marathi
